time,class
2018-05-22 15:42:34,1
2018-05-22 15:42:41,1
2018-05-22 15:42:46,0
2018-05-22 15:42:51,1
2018-05-22 15:42:56,1
2018-05-22 15:43:00,1
2018-05-22 15:43:07,2
2018-05-22 15:43:13,0
2018-05-22 15:43:18,1
2018-05-22 15:43:22,0
2018-05-22 15:43:27,2
2018-05-22 15:43:33,0
2018-05-22 15:43:38,1
2018-05-22 15:43:43,2
2018-05-22 15:43:48,1
2018-05-22 15:43:53,0
2018-05-22 15:43:57,1
2018-05-22 15:44:02,2
2018-05-22 15:44:07,0
2018-05-22 15:44:14,0
2018-05-22 15:46:56,2
2018-05-22 15:47:01,1
2018-05-22 15:47:09,2
2018-05-22 15:50:44,1
2018-05-22 15:50:48,0
2018-05-22 15:50:53,1
2018-05-22 15:50:58,0
2018-05-22 15:51:03,1
2018-05-22 15:51:07,0
2018-05-22 15:51:14,0
2018-05-22 15:51:19,2
2018-05-22 15:51:23,2
2018-05-22 15:51:29,2
2018-05-22 15:51:33,1
2018-05-22 15:51:39,0
2018-05-22 15:51:44,0
2018-05-22 15:51:49,1
2018-05-22 15:51:54,0
2018-05-22 15:51:59,1
2018-05-22 15:52:04,1
2018-05-22 15:52:12,2
2018-05-22 15:59:43,0
2018-05-22 16:00:48,0
2018-05-22 16:01:08,2
2018-05-22 16:01:14,1
2018-05-22 16:01:21,1
2018-05-22 16:01:26,0
2018-05-22 16:01:31,2
2018-05-22 16:01:37,0
2018-05-22 16:01:44,1
2018-05-22 16:01:49,2
2018-05-22 16:01:57,1
2018-05-22 16:04:04,1
2018-05-22 16:04:29,0
2018-05-22 16:04:35,1
2018-05-22 16:04:41,0
2018-05-22 16:04:47,2
2018-05-22 16:04:53,1
2018-05-22 16:04:59,0
2018-05-22 16:05:07,2
2018-05-22 16:05:12,0
2018-05-22 16:05:18,0
2018-05-22 16:05:23,0
2018-05-22 16:05:29,0
2018-05-22 16:05:35,0
2018-05-22 16:05:40,2
2018-05-22 16:05:46,0
2018-05-22 16:05:51,1
2018-05-22 16:05:56,1
2018-05-22 16:06:02,1
2018-05-22 16:06:07,1
2018-05-22 16:06:12,1
2018-05-22 16:06:16,2
2018-05-22 16:21:12,2
2018-05-22 16:21:25,0
2018-05-22 16:21:31,1
2018-05-22 16:21:37,1
2018-05-22 16:21:43,2
2018-05-22 16:21:48,1
2018-05-22 16:21:54,0
2018-05-22 16:21:59,2
2018-05-22 16:22:05,2
2018-05-22 16:22:12,1
2018-05-22 16:22:17,1
2018-05-22 16:22:22,2
2018-05-22 16:22:28,0
2018-05-22 16:22:34,0
2018-05-22 16:22:40,2
2018-05-22 16:22:46,1
2018-05-22 16:37:33,2
2018-05-22 16:39:07,0
2018-05-22 16:39:20,0
2018-05-22 16:39:26,0
2018-05-22 16:39:32,0
2018-05-22 16:39:37,2
2018-05-22 16:39:43,1
2018-05-22 16:39:48,2
2018-05-22 16:39:54,1
2018-05-22 16:40:00,2
2018-05-22 16:40:07,1
2018-05-22 16:40:13,0
2018-05-22 16:40:42,1
2018-05-22 16:41:21,2
2018-05-22 16:42:53,2
2018-05-22 16:43:16,1
2018-05-22 16:43:21,1
2018-05-22 16:43:28,1
2018-05-22 16:43:35,1
2018-05-22 16:43:41,0
2018-05-22 16:43:47,2
2018-05-22 16:43:54,1
2018-05-22 16:44:00,0
2018-05-22 16:44:06,2
2018-05-22 16:44:13,0
2018-05-23 20:05:58,1
2018-05-23 20:06:12,0
2018-05-23 20:06:21,2
2018-05-23 20:06:50,2
