,time,class
0,22/05/2018 15:42:34,b
1,22/05/2018 15:42:41,b
2,22/05/2018 15:42:46,r
3,22/05/2018 15:42:51,b
4,22/05/2018 15:42:56,b
5,22/05/2018 15:43:00,b
6,22/05/2018 15:43:07,k
7,22/05/2018 15:43:13,r
8,22/05/2018 15:43:18,b
9,22/05/2018 15:43:22,r
10,22/05/2018 15:43:27,k
11,22/05/2018 15:43:33,r
12,22/05/2018 15:43:38,b
13,22/05/2018 15:43:43,k
14,22/05/2018 15:43:48,b
15,22/05/2018 15:43:53,r
16,22/05/2018 15:43:57,b
17,22/05/2018 15:44:02,k
18,22/05/2018 15:44:07,r
19,22/05/2018 15:44:14,r
20,22/05/2018 15:46:56,k
21,22/05/2018 15:47:01,b
22,22/05/2018 15:47:09,k
23,22/05/2018 15:50:44,b
24,22/05/2018 15:50:48,r
25,22/05/2018 15:50:53,b
26,22/05/2018 15:50:58,r
27,22/05/2018 15:51:03,b
28,22/05/2018 15:51:07,r
29,22/05/2018 15:51:14,r
30,22/05/2018 15:51:19,k
31,22/05/2018 15:51:23,k
32,22/05/2018 15:51:29,k
33,22/05/2018 15:51:33,b
34,22/05/2018 15:51:39,r
35,22/05/2018 15:51:44,r
36,22/05/2018 15:51:49,b
37,22/05/2018 15:51:54,r
38,22/05/2018 15:51:59,b
39,22/05/2018 15:52:04,b
40,22/05/2018 15:52:12,k
41,22/05/2018 15:59:43,r
42,22/05/2018 16:00:48,r
43,22/05/2018 16:01:08,k
44,22/05/2018 16:01:14,b
45,22/05/2018 16:01:21,b
46,22/05/2018 16:01:26,r
47,22/05/2018 16:01:31,k
48,22/05/2018 16:01:37,r
49,22/05/2018 16:01:44,b
50,22/05/2018 16:01:49,k
51,22/05/2018 16:01:57,b
52,22/05/2018 16:04:04,b
53,22/05/2018 16:04:29,r
54,22/05/2018 16:04:35,b
55,22/05/2018 16:04:41,r
56,22/05/2018 16:04:47,k
57,22/05/2018 16:04:53,b
58,22/05/2018 16:04:59,r
59,22/05/2018 16:05:07,k
60,22/05/2018 16:05:12,r
61,22/05/2018 16:05:18,r
62,22/05/2018 16:05:23,r
63,22/05/2018 16:05:29,r
64,22/05/2018 16:05:35,r
65,22/05/2018 16:05:40,k
66,22/05/2018 16:05:46,r
67,22/05/2018 16:05:51,b
68,22/05/2018 16:05:56,b
69,22/05/2018 16:06:02,b
70,22/05/2018 16:06:07,b
71,22/05/2018 16:06:12,b
72,22/05/2018 16:06:16,k
73,22/05/2018 16:21:12,k
74,22/05/2018 16:21:25,r
75,22/05/2018 16:21:31,b
76,22/05/2018 16:21:37,b
77,22/05/2018 16:21:43,k
78,22/05/2018 16:21:48,b
79,22/05/2018 16:21:54,r
80,22/05/2018 16:21:59,k
81,22/05/2018 16:22:05,k
82,22/05/2018 16:22:12,b
83,22/05/2018 16:22:17,b
84,22/05/2018 16:22:22,k
85,22/05/2018 16:22:28,r
86,22/05/2018 16:22:34,r
87,22/05/2018 16:22:40,k
88,22/05/2018 16:22:46,b
89,22/05/2018 16:37:33,k
90,22/05/2018 16:39:07,r
91,22/05/2018 16:39:20,r
92,22/05/2018 16:39:26,r
93,22/05/2018 16:39:32,r
94,22/05/2018 16:39:37,k
95,22/05/2018 16:39:43,b
96,22/05/2018 16:39:48,k
97,22/05/2018 16:39:54,b
98,22/05/2018 16:40:00,k
99,22/05/2018 16:40:07,b
100,22/05/2018 16:40:13,r
101,22/05/2018 16:40:42,b
102,22/05/2018 16:41:21,k
103,22/05/2018 16:42:53,k
104,22/05/2018 16:43:16,b
105,22/05/2018 16:43:21,b
106,22/05/2018 16:43:28,b
107,22/05/2018 16:43:35,b
108,22/05/2018 16:43:41,r
109,22/05/2018 16:43:47,k
110,22/05/2018 16:43:54,b
111,22/05/2018 16:44:00,r
112,22/05/2018 16:44:06,k
113,22/05/2018 16:44:13,r
114,23/05/2018 20:05:58,b
115,23/05/2018 20:06:12,r
116,23/05/2018 20:06:21,k
117,23/05/2018 20:06:50,k
